iter	Passed	Remaining
602	1219	803
603	1221	800
604	1223	798
605	1224	796
606	1226	793
607	1228	791
608	1229	789
609	1232	788
610	1234	785
611	1236	783
612	1237	781
613	1239	779
614	1240	776
615	1242	774
616	1244	772
617	1246	770
618	1248	768
619	1250	766
620	1252	764
621	1253	761
622	1255	759
623	1257	757
624	1259	755
625	1261	753
626	1263	751
627	1265	749
628	1267	747
629	1268	745
630	1270	743
631	1272	741
632	1274	738
633	1276	737
634	1279	735
635	1280	733
636	1282	730
637	1283	728
638	1285	726
639	1287	724
640	1289	722
641	1290	719
642	1293	718
643	1295	716
644	1297	714
645	1298	711
646	1301	709
647	1302	707
648	1304	705
649	1306	703
650	1308	701
651	1310	699
652	1312	697
653	1313	695
654	1315	692
655	1317	690
656	1318	688
657	1320	686
658	1323	684
659	1325	682
660	1326	680
661	1328	678
662	1330	676
663	1331	674
664	1333	671
665	1335	669
666	1337	667
667	1340	666
668	1341	663
669	1343	661
670	1345	659
671	1347	657
672	1348	655
673	1350	653
674	1352	651
675	1355	649
676	1356	647
677	1358	645
678	1360	643
679	1362	641
680	1363	638
681	1365	636
682	1368	635
683	1370	633
684	1372	631
685	1374	629
686	1375	626
687	1377	624
688	1378	622
689	1380	620
690	1383	618
691	1385	616
692	1387	614
693	1389	612
694	1390	610
695	1392	608
696	1394	606
697	1396	604
698	1398	602
699	1400	600
700	1402	598
701	1404	596
702	1405	593
703	1407	591
704	1408	589
705	1410	587
706	1413	585
707	1416	584
708	1419	582
709	1421	580
710	1423	578
711	1426	577
712	1429	575
713	1432	573
714	1433	571
715	1435	569
716	1436	567
717	1438	565
718	1440	563
719	1443	561
720	1445	559
721	1447	557
722	1448	555
723	1450	552
724	1451	550
725	1453	548
726	1455	546
727	1458	544
728	1460	542
729	1461	540
730	1463	538
731	1465	536
732	1466	534
733	1468	532
734	1470	530
735	1473	528
736	1475	526
737	1477	524
738	1478	522
739	1480	520
740	1481	517
741	1483	515
742	1485	513
743	1488	512
744	1490	510
745	1492	508
746	1493	505
747	1495	503
748	1497	501
749	1498	499
750	1502	498
751	1504	496
752	1505	493
753	1507	491
754	1508	489
755	1510	487
756	1512	485
757	1513	483
758	1516	481
759	1519	479
760	1521	477
761	1523	475
762	1526	474
763	1528	472
764	1530	470
765	1533	468
766	1536	466
767	1537	464
768	1539	462
769	1540	460
770	1542	458
771	1544	456
772	1547	454
773	1549	452
774	1551	450
775	1552	448
776	1554	446
777	1555	443
778	1557	441
779	1562	440
780	1564	438
781	1565	436
782	1567	434
783	1569	432
784	1570	430
785	1572	428
786	1574	426
787	1577	424
788	1579	422
789	1580	420
790	1582	418
791	1583	415
792	1585	413
793	1587	411
794	1588	409
795	1591	407
796	1594	406
797	1595	403
798	1597	401
799	1599	399
